#;CAMINHO NO XML;CAMPO;"REGRAS DE NEG‡CIO PARA A NOTA FISCAL DE SERVIÄO ELETR‚NICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"N÷VEL
DA REGRA";"EMISSORES PÈBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÄÂES DE NEG‡CIO;;;
;;;"N°vel 1 - Regras de neg¢cio para consistància do Leiaute NFS-e

N°vel 2 - Regras de Neg¢cio gerais para todos os munic°pios aderentes ao SN NFS-e

N°vel 3 - Regras de Neg¢cio espec°ficas conforme legislaá∆o municipal do munic°pio parametrizada no SN NFS-e ";;;;;;;"RNs EXECUTADAS NA RECEPÄ«O DE DPS EVIADAS PELO EMITENTE PRESTADOR  (V),
RNs EXECUTADAS NA GERAÄ«O DAS INFORMAÄÂES DE NFS-e PELOS EMISSORES PÈBLICOS NACIONAIS (V) E
RNs N«O EXECUTADAS (X)";"NFS-e EMITIDA SOB CONDIÄÂES DE 
DECIS«O JUDICIAL OU ADMINISTRATIVA (cStat = 102)
RNs EXECUTADAS NA GERAÄ«O DE NFS-e PELOS
EMISSORES PÈBLICOS NACIONAIS (SEFIN, WEB, APP)
RNs EXECUTADAS (V)
RNs N«O EXECUTADAS (X)";"RNs EXECUTADAS 
NA RECEPÄ«O DE NFS-e COMPARTILHADAS 
PELOS MUNIC÷PIOS COM O 
ADN NFS-e (V) 
E
RNs N«O EXECUTADAS (X)";"NFS-e EMITIDAS SOB CONDIÄÂES DE DECIS«O JUDICIAL OU ADMINISTRATIVA (cStat = 102)
RNs EXECUTADAS 
NA RECEPÄ«O DE NFS-e COMPARTILHADAS 
PELOS MUNIC÷PIOS COM O 
ADN NFS-e (V) E
RNs N«O EXECUTADAS (X)";;;;
;;;REGRAS DE NEG‡CIO;;APLIC.;EFEITO;C‡D. ERRO;MSG. ERRO;;;;;;;;;
1;-;NFS-e;-;;-;-;-;-;-;-;-;-;-;-;;;
2;NFSe/;versao;Prazo de aceitaá∆o da vers∆o do leiaute NFS-e ultrapassado.;;Obrig.;Rej.;E1260;O prazo de aceitaá∆o da vers∆o do leiaute da NFS-e expirou.;1;V;V;V;V;-;;;
3;NFSe/;infNFSe;-;;-;-;-;-;-;-;-;-;-;-;;;
4;NFSe/infNFSe/;id;"O identificador da NFS-e Ç formado conforme a concatenaá∆o dos seguintes campos:
""NFS"" + C¢d.Mun. (7) + Amb.Ger. (1) + Tipo de Inscriá∆o Federal (1) + Inscriá∆o Federal (14 - CPF completar com 000 Ö esquerda) + nNFSe (13) + AnoMes Emis. (4) + C¢d.Num. (9) + DV (1)

Verificar se tipo de inscriá∆o e inscriá∆o, informados no identificador da NFS-e, est∆o corretamente correspondidos conforme o seguinte:

Tipo de inscriá∆o Federal = 1 / Inscriá∆o Federal = CPF emitente da NFS-e;
Tipo de inscriá∆o Federal = 2 / Inscriá∆o Federal = CNPJ emitente da NFS-e;

C¢d.Mun.Emi. Ç o c¢digo do munic°pio do endereáo do emitente da NFS-e.""";;Obrig.;Rej.;E1263;Conte£do informado no identificador da NFS-e difere da concatenaá∆o dos campos correspondentes que formam o identificador.;1;V;V;V;V;-;;;
5;;;Chave a acesso da NFS-e enviada j† existe no ADN.;;Obrig.;Rej.;E1268;Chave de acesso informada para a NFS-e j† foi compartilhada com o ADN.;1;V;V;V;V;-;;;
6;NFSe/infNFSe/;xLocEmi;-;;-;-;-;-;-;-;-;-;-;-;;;
7;NFSe/infNFSe/;xLocPrestacao;-;;-;-;-;-;-;-;-;-;-;-;;;
8;NFSe/infNFSe/;nNFSe;-;;-;-;-;-;-;-;-;-;-;-;;;
9;NFSe/infNFSe/;cLocIncid;"N∆o Ç permitido informar o c¢digo do local de incidància quando o serviáo prestado for imune, exportaá∆o de serviáo ou n∆o incidància do ISSQN sobre o serviáo prestado, ou seja, o campo referente Ö tributaá∆o do ISSQN (tribISSQN) Ç igual a ""2 - Imunidade, ""3 - Exportaá∆o de Serviáo"" ou ""4 - N∆o Incidància"", (tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E1301;N∆o Ç permitido informar o c¢digo do local de incidància quando o campo referente Ö tributaá∆o do ISSQN indicar imunidade, exportaá∆o ou n∆o incidància.;1;V;X;V;X;-;;;
10;;;"ê obrigat¢rio informar o c¢digo do local de incidància quando o serviáo prestado for uma operaá∆o tribut†vel, ou seja, o campo referente Ö tributaá∆o do ISSQN (tribISSQN) Ç igual a ""1 - Operaá∆o Tribut†vel"", (tribISSQN = 1).";;Obrig.;Rej.;E1305;ê obrigat¢rio informar  o c¢digo do local de incidància quando o campo referente Ö tributaá∆o do ISSQN indicar Operaá∆o Tribut†vel.;1;V;V;V;V;-;;;
11;;;"Se o c¢digo da localidade de incidància for informado na NFS-e, ent∆o ele deve existir nas tabelas
de munic°pios do IBGE ou tabela de concess‰es de rodovia ou  tabela de localidade geral do arquivo 
ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.";;Obrig.;Rej.;E1309;O c¢digo do local de incidància do ISSQN n∆o existe conforme a tabela de munic°pios IBGE ou tabela de concess‰es de rodovia ou tabela de localidade geral no ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.;1;V;V;V;V;-;;;
