#;CAMINHO NO XML;CAMPO;ELE;TIPO;OCOR.;TAM.;DESCRIÄ«O;NOTAS EXPLICATIVAS;DEMANDA;VERS«O;DATA ENTREGA
1;-;DPS;Raiz;-;-;-;-;-;-;-;-
2;DPS/;versao;A;C;1-1;1-4V2;Vers∆o do leiaute da DPS.;-;;;
3;DPS/;infDPS;G;-;1-1;-;"Grupo de Informaá‰es da 
Declaraá∆o de Prestaá∆o de Serviáos - DPS";-;;;
4;DPS/infDPS/;id;ID;C;1-1;45;"O identificador da DPS Ç composto pela concatenaá∆o de campos que constam no leiaute da DPS.
A formaá∆o deste identificador considera o literal ""DPS"" associado a outras 42 posiá‰es numÇricas, conforme descrito abaixo:

""DPS"" + 
cLocEmi (7) + 
Tipo de Inscriá∆o Federal (1) + 
Inscriá∆o Federal (14 - CPF completar com 000 Ö esquerda) + 
SÇrie DPS (5) + 
N£m. DPS (15)

Verificar se tipo de inscriá∆o e inscriá∆o, informados no identificador da DPS, est∆o corretamente correspondidos conforme o seguinte:

Tipo de inscriá∆o Federal = 1 / Inscriá∆o Federal = CPF emitente da DPS;
Tipo de inscriá∆o Federal = 2 / Inscriá∆o Federal = CNPJ emitente da DPS;

cLocEmi Ç o c¢digo do munic°pio do endereáo do emitente da DPS.";-;;;
5;DPS/infDPS/;tpAmb;E;N;1-1;1;" Identificaá∆o do tipo de ambiente no Sistema Nacional NFS-e: 
1 - Produá∆o; 
2 - Homologaá∆o;";-;;;
6;DPS/infDPS/;dhEmi;E;D;1-1;-;"Data e hora da emiss∆o da DPS.
Data e hora no formato UTC (Universal Coordinated Time):
AAAA-MM-DDThh:mm:ssTZD";-;;;
7;DPS/infDPS/;verAplic;E;C;1-1;1-20;Vers∆o do aplicativo que gerou a DPS.;-;;;
8;DPS/infDPS/;serie;E;N;1-1;5;SÇrie da DPS.;"Faixas de utilizaá∆o da sÇrie da DPS:

00001 a 49999 - Emiss∆o com aplicativo p?oprio;
50000 a 69999 - Emissor M¢vel;
70000 a 79999 - Emissor Web;
80000 a 89999 - Emiss∆o com *transcriss∆o manual (Web);

*O emitente deve informar o n£mero de sÇrie (transcrever o n£mero de sÇrie) que foi repassado ao n∆o emitente da NFS-e.";;;
9;DPS/infDPS/;nDPS;E;N;1-1;15;N£mero da DPS.;-;;;
10;DPS/infDPS/;dCompet;E;D;1-1;-;"Data de competància da prestaá∆o do serviáo.
Ano, Màs e Dia (AAAA-MM-DD)";-;;;
11;DPS/infDPS/;tpEmit;E;N;1-1;1;"Emitente da DPS:

1 - Prestador;
2 - Tomador;
3 - Intermedi†rio;";-;;;
12;DPS/infDPS/;cLocEmi;E;N;1-1;7;C¢digo de 7 d°gitos da localidade emissora da NFS-e.;"O c¢digo de munic°pio utilizado pelo Sistema Nacional NFS-e Ç o c¢digo definido para cada munic°pio pertencente Ö tabela de c¢digo de munic°pios do IBGE.

O munic°pio emissor da NFS-e Ç aquele munic°pio em que o emitente da DPS est† cadastrado e autorizado a ""emitir uma NFS-e"", ou seja, emitir uma DPS para que o sistema nacional valide as informaá‰es nela prestadas e gere a NFS-e correspondente para o emitente.

Para que o sistema nacional emita a NFS-e o munic°pio emissor deve ser conveniado e estar ativo no sistema nacional. AlÇm disso o convànio do munic°pio deve permitir que os contribuintes do munic°pio utilize os emissores p£blicos do Sistema Nacional NFS-e.

No caso dos subitens 3.04 e 22.01 da lista de serviáo anexa Ö LC 116/03, o Sistema Nacional NFS-e convencionou que a localidade emissora das NFS-e de cobranáa de ped†gio, cujo emitente Ç a concession†ria respons†vel pelo trecho de conscess∆o para exploraá∆o da rodovia, ser† o pr¢prio trecho de conscess∆o, que no sistema nacional Ç identificado como um codigo de 7 d°gitos, pois o municipio em que a conscession†ria, emitente da DPS, est† sediada pode n∆o estar conveniado ao Sistema Nacional NFS-e.";;;
13;DPS/infDPS/;subst;G;-;0-1;-;Grupo de informaá‰es relativas Ö NFS-e a ser substitu°da;-;;;
14;DPS/infDPS/subst;chSubstda;E;C;1-1;50;Chave de Acesso da NFS-e a ser substitu°da.;-;;;
15;DPS/infDPS/subst;cMotivo;E;N;1-1;1;"C¢digo de justificativa para substituiá∆o de NFS-e:

1 - Desenquadramento de NFS-e do Simples Nacional;
2 - Enquadramento de NFS-e no Simples Nacional;
3 - Inclus∆o Retroativa de Imunidade/Isená∆o para NFS-e;
4 - Exclus∆o Retroativa de Imunidade/Isená∆o para NFS-e;
5 - Rejeiá∆o de NFS-e pelo tomador ou pelo intermedi†rio se respons†vel pelo recolhimento do tributo;
9 - Outros;"; Rejeiá∆o de NFS-e pelo tomador ou pelo intermedi†rio se respons†vel pelo recolhimento do tributo.;;;
16;DPS/infDPS/subst;xMotivo;E;C;0-1;15-255;Descriá∆o do motivo da substituiá∆o da NFS-e quando o emitente deve descrever o motivo da substituiá∆o para outros motivos (cMotivo = 9).;-;;;
